group,scoreO,scoreS,scoreP,NumSeats,ShareSeats
The Left,7,8.3,5.3,40,5.7
S&D,23.08,19.55,27.71,148,21.0
Greens/EFA,14.84,17.69,11.12,67,9.5
Renew,16.44,16.05,16.96,97,13.8
EPP,21.68,19.99,23.88,187,26.6
ECR,6.8,6.95,6.6,62,8.8
ID,7.78,9.75,5.22,76,10.8
NI,2.38,1.74,3.22,27,3.8
