name,political,social,age,gender
Dimitrios PAPADIMOULIS,27.91,73.15,66,Male
Patrizia TOIA,56.28,44.68,71,Female
Miguel URBÁN CRESPO,20.47,80.32,41,Male
Idoia VILLANUEVA RUIZ,27.44,73.31,41,Female
Esther de LANGE,51.16,49.36,46,Female
Katarina BARLEY,27.91,72.49,52,Female
Manfred WEBER,26.98,71.68,49,Male
Anna Júlia DONÁTH,25.12,73.51,34,Female
Maria NOICHL,40.00,58.56,54,Female
Sophia in 't VELD,40.47,57.95,58,Female
Jordi CAÑAS,27.44,70.71,51,Male
Dennis RADTKE,26.98,71.12,42,Male
Henrike HAHN,36.74,61.2,51,Female
Maria SPYRAKI,39.07,58.86,56,Female
Leszek MILLER,24.65,72.9,75,Male
Georgios KYRTSOS,22.79,74.73,69,Male
Silvia SARDONE,41.86,55.51,38,Female
Thierry MARIANI,13.49,82.92,63,Male
Jessica STEGRUD,13.95,82.36,51,Female
Damien CARÊME,14.42,81.75,60,Male
Tomáš ZDECHOVSKÝ,17.21,78.59,41,Male
Robert ROOS,13.95,81.59,55,Male
Kira Marie PETER-HANSEN,20.47,75.03,23,Female
Paul TANG,35.35,60.08,54,Male
Mazaly AGUILAR,25.81,69.59,72,Female
Gabriel MATO,53.02,42.39,60,Male
Nikolaj VILLUMSEN,14.42,80.93,38,Male
Adriana MALDONADO LÓPEZ,33.49,61.86,31,Female
Agnès EVREN,24.65,70.51,50,Female
Stéphanie YON-COURTIN,34.42,60.54,47,Female
Franc BOGOVIČ,27.44,67.51,58,Male
Christel SCHALDEMOSE,41.86,52.92,54,Female
Terry REINTKE,23.26,70.97,34,Female
Pietro BARTOLO,40.93,53.22,65,Male
Petri SARVAMAA,31.16,62.83,61,Male
Jessica POLFJÄRD,29.30,64.66,50,Female
Hildegard BENTELE,34.88,59.02,45,Female
Mounir SATOURI,22.33,71.53,46,Male
Danuta Maria HÜBNER,21.86,71.78,73,Female
Dacian CIOLOŞ,34.88,58.71,52,Male
Dolors MONTSERRAT,30.70,62.88,48,Female
Claudia GAMON,37.21,55.97,32,Female
Manuela RIPA,30.23,62.83,45,Female
Nicola DANTI,42.33,50.58,55,Male
José GUSMÃO,15.81,76.76,45,Male
Francesca DONATO,17.21,75.34,52,Female
Linea SØGAARD-LIDELL,35.35,57.19,34,Female
Michal WIEZIK,40.47,51.39,42,Male
Irene TINAGLI,33.02,58.51,47,Female
Antonio Maria RINALDI,15.81,75.39,66,Male
Chrysoula ZACHAROPOULOU,34.42,56.47,45,Female
Susana SOLÍS PÉREZ,30.23,60.54,49,Female
Gilbert COLLARD,5.58,84.95,73,Male
Bert-Jan RUISSEN,30.70,59.58,49,Male
Philippe LAMBERTS,31.63,58.61,58,Male
Sylvie BRUNET,35.81,54.19,62,Female
Erik MARQUARDT,19.53,70.31,33,Male
Tomas TOBÉ,12.56,77.07,43,Male
Assita KANKO,9.77,79.76,41,Female
Ulrike MÜLLER,46.51,43,58,Female
Marek BELKA,25.58,63.59,69,Male
Mikuláš PEKSA,22.33,66.8,35,Male
Agnes JONGERIUS,33.49,55.51,60,Female
Niklas NIENASS,19.53,69.19,29,Male
Olivier CHASTEL,36.28,52.31,56,Male
Hermann TERTSCH,10.23,78.34,63,Male
Viola VON CRAMON-TAUBADEL,19.53,68.53,51,Female
Jorge BUXADÉ VILLALBA,9.30,78.54,46,Male
Dino GIARRUSSO,26.05,61.41,47,Male
Herbert DORFMANN,47.91,39.44,52,Male
Dominique RIQUET,51.63,35.17,75,Male
Emmanuel MAUREL,19.07,67.46,48,Male
Silvio BERLUSCONI,17.67,68.63,85,Male
Marianne VIND,30.70,55.56,50,Female
Jens GEIER,46.51,39.49,60,Male
Vera TAX,36.74,48.9,49,Female
Udo BULLMANN,40.93,44.42,65,Male
Adrián VÁZQUEZ LÁZARA,25.12,60.03,39,Male
Laurence FARRENG,32.56,52.51,55,Female
Othmar KARAS,27.44,57.34,63,Male
Pedro MARQUES,36.28,48.19,45,Male
Anne-Sophie PELLETIER,15.35,68.83,45,Female
Anna-Michelle ASIMAKOPOULOU,21.40,62.68,54,Female
Sylvie GUILLAUME,30.23,53.68,59,Female
Hélène LAPORTE,7.44,75.49,42,Female
Eero HEINÄLUOMA,23.72,58.36,66,Male
Tanja FAJON,30.23,51.59,50,Female
Isabel GARCÍA MUÑOZ,42.33,38.37,44,Female
Angelo CIOCCA,20.93,59.73,46,Male
Jadwiga WIŚNIEWSKA,25.12,55.51,58,Female
Konstantinos ARVANITIS,20.00,60.49,57,Male
Alexandr VONDRA,44.42,36.08,60,Male
Gilles LEBRETON,20.00,60.08,63,Male
Jordan BARDELLA,5.58,74.47,26,Male
Julie LECHANTEUX,14.88,65.12,43,Female
Jean-Paul GARRAUD,2.33,77.53,65,Male
Ska KELLER,24.19,55.51,39,Female
Laura HUHTASAARI,7.91,71.73,42,Female
Róża THUN UND HOHENSTEIN,13.95,65.47,67,Female
Angelika NIEBLER,34.42,44.93,58,Female
Joëlle MÉLIN,33.49,45.85,71,Female
Billy KELLEHER,31.63,47.63,53,Male
Esteban GONZÁLEZ PONS,20.47,58.76,57,Male
Fabio Massimo CASTALDO,23.72,55.25,36,Male
Caroline NAGTEGAAL,30.70,47.78,41,Female
Susanna CECCARDI,13.49,64.71,34,Female
Johan VAN OVERTVELDT,23.26,54.69,66,Male
Marco ZANNI,18.60,59.27,35,Male
Aurélia BEIGNEUX,21.40,55.81,41,Female
Geert BOURGEOIS,9.77,67.31,70,Male
Nicolae ŞTEFĂNUȚĂ,43.72,33.19,39,Male
Elissavet VOZEMBERG-VRIONIDI,28.37,48.39,65,Female
Maite PAGAZAURTUNDÚA,31.16,45.39,56,Male
Luděk NIEDERMAYER,16.28,60.24,55,Male
Juan Fernando LÓPEZ AGUILAR,39.07,37.31,60,Male
Peter van DALEN,39.07,36.64,63,Male
Martin SONNEBORN,16.28,59.22,56,Male
Elisabetta GUALMINI,33.02,42.44,53,Female
Elena KOUNTOURA,32.09,43.2,58,Female
Andreas SCHIEDER,29.77,45.49,52,Male
Elżbieta Katarzyna ŁUKACIJEWSKA,23.72,50.73,54,Female
Frances FITZGERALD,20.47,53.78,71,Female
Markus PIEPER,32.09,42.08,58,Male
Giuseppe FERRANDINO,66.98,7.08,58,Male
