name,political,social,age,gender
Tomasz FRANKOWSKI,10.70,18.54,47,Male
Vlad GHEORGHE,27.44,1.8,36,Male
Gianna GANCIA,14.42,14.78,48,Female
Klára DOBREV,20.93,8.25,49,Female
Balázs HIDVÉGHI,19.53,9.49,50,Male
Isabel BENJUMEA BENJUMEA,19.53,9.39,39,Female
Simona BALDASSARRE,28.84,0,50,Female
Alice KUHNKE,28.84,0,49,Female
Sven MIKSER,28.84,0,47,Male
Csaba MOLNÁR,28.84,0,45,Male
David LEGA,8.37,20.42,48,Male
Pierrette HERZBERGER-FOFANA,19.53,9.14,72,Female
Malik AZMANI,18.14,10.31,45,Male
András GYÜRK,28.37,0,48,Male
Simone SCHMIEDTBAUER,28.37,0,47,Female
Anna BONFRISCO,9.30,18.9,59,Female
Radosław SIKORSKI,14.88,13.31,58,Male
Sabine VERHEYEN,27.91,0.14,56,Female
Heléne FRITZON,27.91,0,61,Female
Iuliu WINKLER,25.58,2.32,57,Male
Tom VANDENDRIESSCHE,7.91,19.92,42,Male
Erik BERGKVIST,26.98,0.78,56,Male
Costas MAVRIDES,25.58,2.15,59,Male
Miroslav ČÍŽ,27.44,0,67,Male
Vasile BLAGA,27.44,0,65,Male
Jarosław KALINOWSKI,27.44,0,59,Male
Sergei STANISHEV,27.44,0,55,Male
Alexis GEORGOULIS,19.07,8.05,47,Male
Tatjana ŽDANOKA,26.98,0,71,Female
Gwendoline DELBOS-CORFIELD,19.53,7.2,44,Female
Ilhan KYUCHYUK,22.79,3.95,36,Male
Pietro FIOCCHI,26.74,0,57,Male
Traian BĂSESCU,26.51,0,69,Male
Kinga GÁL,26.51,0,51,Female
Nils UŠAKOVS,26.51,0,45,Male
Loránt VINCZE,19.53,6.95,43,Male
Javier NART,26.05,0,74,Male
Adrian-Dragoş BENEA,26.05,0,45,Male
Tomislav SOKOL,20.93,5.12,39,Male
Ondřej KNOTEK,18.14,7.71,37,Male
Iskra MIHAYLOVA,25.58,0.29,64,Female
Veronika VRECIONOVÁ,25.81,0,56,Female
Krzysztof JURGIEL,25.81,0,47,Male
Peter KOFOD,7.91,17.68,31,Male
Adam BIELAN,25.58,0,47,Male
Andor DELI,22.79,2.58,44,Male
Isabel WISELER-LIMA,13.95,11.12,59,Female
Lívia JÁRÓKA,22.79,2.2,47,Female
Liesje SCHREINEMACHER,18.14,6.64,38,Female
Rasa JUKNEVIČIENĖ,22.33,2.41,63,Female
Martin BUSCHMANN,20.47,4.25,51,Male
Tamás DEUTSCH,24.19,0,55,Male
György HÖLVÉNYI,18.60,5.46,59,Male
Radan KANEV,20.93,2.61,46,Male
Romeo FRANZ,16.28,7.2,54,Male
Ondřej KOVAŘÍK,16.28,7.15,41,Male
Pablo ARIAS ECHEVERRÍA,23.26,0,51,Male
Lena DÜPONT,20.47,2.61,35,Female
Jordi SOLÉ,15.35,7.66,44,Male
Laura FERRARA,20.00,2.83,38,Female
Andrea BOCSKOR,22.79,0,43,Female
Karlo RESSLER,21.40,1.29,31,Male
Alessandra BASSO,13.95,8.46,54,Female
Ralf SEEKATZ,22.33,0,48,Male
Andżelika Anna MOŻDŻANOWSKA,22.33,0,46,Female
Brice HORTEFEUX,21.40,0.75,63,Male
Jarosław DUDA,14.88,7.03,57,Male
Emmanouil FRAGKOS,4.19,17.32,28,Male
Rob ROOKEN,20.93,0.54,52,Male
David CASA,20.00,1.46,52,Male
Diana RIBA I GINER,18.14,3.19,46,Female
Elżbieta RAFALSKA,21.16,0,66,Female
Evžen TOŠENOVSKÝ,20.93,0.12,65,Male
Gheorghe-Vlad NISTOR,16.74,4.03,67,Male
Niyazi KIZILYÜREK,13.49,6.98,61,Male
Mircea-Gheorghe HAVA,20.47,0,64,Male
Ivan ŠTEFANEC,20.47,0,60,Male
Karol KARSKI,20.47,0,55,Male
Tineke STRIK,13.49,6.44,60,Female
Nicola PROCACCINI,9.30,10.41,45,Male
Elżbieta KRUK,19.07,0,61,Female
Teuvo HAKKARAINEN,19.07,0,61,Male
Rosa ESTARÀS FERRAGUT,19.07,0,55,Female
Ádám KÓSA,19.07,0,46,Male
Claudiu MANDA,19.07,0,45,Male
Georg MAYER,18.60,0,48,Male
Krzysztof HETMAN,18.60,0,47,Male
Matteo ADINOLFI,15.81,2.46,57,Male
Ryszard Antoni LEGUTKO,18.14,0,71,Male
Chiara GEMMA,18.14,0,53,Female
Emil RADEV,18.14,0,50,Male
Peter LUNDGREN,17.67,0,58,Male
Andrey KOVATCHEV,17.67,0,53,Male
Ioan-Rareş BOGDAN,17.67,0,47,Male
Sabrina PIGNEDOLI,15.35,2.07,37,Female
Joachim KUHS,6.98,10,65,Male
Athanasios KONSTANTINOU,16.74,0,62,Male
Christian SAGARTZ,16.74,0,40,Male
Ernő SCHALLER-BAROSS,16.74,0,34,Male
Andrey SLABAKOV,16.28,0,61,Male
Aušra MALDEIKIENĖ,15.35,0.88,63,Female
Vladimír BILČÍK,12.56,3.58,46,Male
Jean-François JALKH,6.51,8.93,64,Male
Valdemar TOMAŠEVSKI,15.35,0,56,Male
Stefania ZAMBELLI,14.88,0.02,50,Female
Roman HAIDER,14.88,0,54,Male
Ladislav ILČIĆ,14.65,0,51,Male
Antoni COMÍN I OLIVERES,12.56,2.02,50,Male
Raffaele STANCANELLI,14.42,0,71,Male
Valentino GRANT,13.95,0,57,Male
Mihai TUDOSE,13.95,0,54,Male
László TRÓCSÁNYI,13.49,0,65,Male
Giorgos GEORGIOU,13.49,0,58,Male
Peter POLLÁK,13.49,0,48,Male
Eugen TOMAC,11.16,2.25,40,Male
Margarita DE LA PISA CARRIÓN,8.37,4.9,46,Female
Eugen JURZYCA,13.26,0,63,Male
Radka MAXOVÁ,9.77,2.98,52,Female
Lucia VUOLO,12.56,0,58,Female
Mislav KOLAKUŠIĆ,6.98,5.51,52,Male
Gianantonio DA RE,12.09,0,68,Male
Dace MELBĀRDE,11.63,0,50,Female
Miriam LEXMANN,9.77,1.64,48,Female
Sandra PEREIRA,11.16,0,44,Female
Michiel HOOGEVEEN,6.98,4.15,32,Male
Márton GYÖNGYÖSI,6.98,3.58,44,Male
Andrea CAROPPO,10.23,0,42,Male
Stasys JAKELIŪNAS,9.77,0,63,Male
Lucia ĎURIŠ NICHOLSONOVÁ,9.77,0,44,Female
Marcel DE GRAAFF,9.30,0,59,Male
Hynek BLAŠKO,7.91,0,66,Male
Nicolaus FEST,7.91,0,59,Male
Kostas PAPADAKIS,7.91,0,46,Male
Jaak MADISON,6.51,1.36,30,Male
Alexander ALEXANDROV YORDANOV,6.98,0,69,Male
Miroslav RADAČOVSKÝ,6.98,0,68,Male
Filip DE MAN,6.98,0,65,Male
Helmut GEUKING,6.98,0,57,Male
Lars Patrick BERG,6.98,0,55,Male
Lefteris NIKOLAOU-ALAVANOS,4.19,0,36,Male
Guido REIL,2.79,0,51,Male
Milan UHRÍK,0.00,1,36,Male
Cristian TERHEŞ,0.93,0,42,Male
Ioannis LAGOS,0.00,0,49,Male
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
