last name,first name,group,country,tw_handle,SocialInfluence,PoliticalInfluence,Green Deal Influence Total
MIKSER,Sven,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Estonia,@svenmikser,0,20.16,10
MAVRIDES,Costas,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Cyprus,@MavridesCostas,0,20.16,10
GLÜCK,Andreas,Renew Europe Group,Germany,@Andi_Glueck,0,20.16,10
ARIAS ECHEVERRÍA,Pablo,Group of the European People's Party (Christian Democrats),Spain,,0,20.16,10
ADINOLFI,Isabella,Non-attached Members,Italy,@Isa_Adinolfi,0,20.16,10
GYŐRI,Enikő,Group of the European People's Party (Christian Democrats),Hungary,@EGyori,0,20.16,10
BEGHIN,Tiziana,Non-attached Members,Italy,@beghin_t,0,20.16,10
GIARRUSSO,Dino,Non-attached Members,Italy,@DinoGiarrusso,0.8,19.1,10
JÁRÓKA,Lívia,Group of the European People's Party (Christian Democrats),Hungary,@JarokaLivia,1.24,18.04,10
FURORE,Mario,Non-attached Members,Italy,@MarioFurore,0,19.1,10
ŽDANOKA,Tatjana,Group of the Greens/European Free Alliance,Latvia,@Tatjana_Zdanoka,0,19.1,10
KRUK,Elżbieta,European Conservatives and Reformists Group,Poland,@ElbietaKruk,0,19.1,10
SANTOS,Isabel,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Portugal,,0,19.1,10
PAPADAKIS,Demetris,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Cyprus,@DemPapadakis,0,19.1,10
SEEKATZ,Ralf,Group of the European People's Party (Christian Democrats),Germany,,0,19.1,10
DAVID,Ivan,Identity and Democracy Group,Czechia,,0,19.1,10
AZMANI,Malik,Renew Europe Group,Netherlands,@MalikAzmani,0,19.1,10
BIELAN,Adam,European Conservatives and Reformists Group,Poland,@AdamBielan,0,19.1,10
BOCSKOR,Andrea,Group of the European People's Party (Christian Democrats),Hungary,@AndreaBocskor,0,19.1,10
BLAGA,Vasile,Group of the European People's Party (Christian Democrats),Romania,@SenatulRomaniei,0,19.1,10
FRANKOWSKI,Tomasz,Group of the European People's Party (Christian Democrats),Poland,@TFrankowski21,10.26,8.49,9
RADEV,Emil,Group of the European People's Party (Christian Democrats),Bulgaria,@Emil_Radev,0,18.04,9
JURGIEL,Krzysztof,European Conservatives and Reformists Group,Poland,@ministerjurgiel,0,18.04,9
KARSKI,Karol,European Conservatives and Reformists Group,Poland,@profKarski,0,18.04,9
ZVER,Milan,Group of the European People's Party (Christian Democrats),Slovenia,@MilanZver,0,18.04,9
GLAVAK,Sunčana,Group of the European People's Party (Christian Democrats),Croatia,@SuncanaGlavak,0,18.04,9
KÓSA,Ádám,Group of the European People's Party (Christian Democrats),Hungary,@adamkosamep,0,18.04,9
HÖLVÉNYI,György,Group of the European People's Party (Christian Democrats),Hungary,@HolvenyiGyorgy,0,18.04,9
CIOCCA,Angelo,Identity and Democracy Group,Italy,@AngeloCiocca,2.05,15.92,9
FERRARA,Laura,Non-attached Members,Italy,@LFerraraM5S,0.8,16.98,9
HAHN,Svenja,Renew Europe Group,Germany,@svenja_hahn,5.94,11.67,9
