Group,scoreO,scoreS,scoreP
ECR,25,30,21
EPP,28,30,26
Greens/EFA,46,63,30
ID,26,37,14
NI,16,15,18
Renew,38,42,34
S&D,37,36,37
The Left,40,54,27
