Group,scoreO,scoreS,scoreP,ShareSeats
The Left,40,54,27,40
S&D,37,36,37,148
Greens/EFA,46,63,30,67
Renew,38,42,34,97
EPP,28,30,26,187
ECR,25,30,21,62
ID,26,37,14,76
NI,16,15,18,27
